mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,other_price_1,other_price_2,pricelist_id
100,Nightsaver,15,10,5,72,10.89,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,15,10,6,72,11.08,6.74,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,15,10,8,72,11.24,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,15,10,7,72,11.21,6.71,0,,,EoN(2014-01-14) Electricity Aq 1yr
600,Nightsaver,49,10,5,72,10.89,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
600,Nightsaver,49,10,6,72,11.08,6.74,0,,,EoN(2014-01-14) Electricity Aq 1yr
600,Nightsaver,49,10,8,72,11.24,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
600,Nightsaver,49,10,7,72,11.21,6.71,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,49,10,5,72,10.89,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,49,10,6,72,11.08,6.74,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,49,10,8,72,11.24,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
100,Nightsaver,49,10,7,72,11.21,6.71,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,15,10,5,72,10.89,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,15,10,6,72,11.08,6.74,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,15,10,8,72,11.24,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,15,10,7,72,11.21,6.71,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,49,10,5,72,10.89,6.76,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,49,10,6,72,11.08,6.74,0,,,EoN(2014-01-14) Electricity Aq 1yr
101,Nightsaver,49,10,8,72,11.24,6.68,0,,,EoN(2014-01-14) Electricity Aq 1yr
