mtc_code,product_id,llf_code,region_id,profile_id,amount,primary_rate,secondary_rate,tertiary_rate,pricelist_id,amount_p4,primary_rate_p4,secondary_rate_p4
100,Nightsaver,15,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
100,Nightsaver,15,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
600,Nightsaver,49,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
600,Nightsaver,49,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
100,Nightsaver,49,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
100,Nightsaver,49,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
101,Nightsaver,15,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
101,Nightsaver,15,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
101,Nightsaver,49,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
101,Nightsaver,49,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
601,Nightsaver,15,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
601,Nightsaver,15,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
600,Nightsaver,15,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
600,Nightsaver,15,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
601,Nightsaver,49,10,4,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
601,Nightsaver,49,10,3,27,11.06,6.31,0,EoN(2014-01-14) Electricity Aq 1yr,,,
514,Nightsaver,301,19,4,27,11.34,6.22,0,EoN(2014-01-14) Electricity Aq 1yr,,,
514,Nightsaver,301,19,3,27,11.34,6.22,0,EoN(2014-01-14) Electricity Aq 1yr,,,
514,Nightsaver,300,19,4,27,11.34,6.22,0,EoN(2014-01-14) Electricity Aq 1yr,,,
514,Nightsaver,300,19,3,27,11.34,6.22,0,EoN(2014-01-14) Electricity Aq 1yr,,,
